coc_name,coc_number,county_name,countyfips
Nebraska Balance of State CoC,NE-500,Cuming County,31039
Oregon Balance of State CoC,OR-505,Wahkiakum County,53069
Washington Balance of State CoC,WA-501,Wahkiakum County,53069
New Mexico Balance of State CoC,NM-501,De Baca County,35011
Nebraska Balance of State CoC,NE-500,Lancaster County,31109
Lincoln CoC,NE-502,Lancaster County,31109
Kansas Balance of State CoC,KS-507,Nuckolls County,31129
Nebraska Balance of State CoC,NE-500,Nuckolls County,31129
South-Southeast Puerto Rico CoC,PR-503,Las Piedras Municipio,72085
South Dakota Statewide CoC,SD-500,Minnehaha County,46099
Iowa Balance of State CoC,IA-501,Minnehaha County,46099
Southwest Minnesota CoC,MN-511,Minnehaha County,46099
Texas Balance of State CoC,TX-607,Menard County,48327
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",CA-516,Sierra County,06091
"Reno, Sparks/Washoe County CoC",NV-501,Sierra County,06091
Yuba City & County/Sutter County CoC,CA-524,Sierra County,06091
Nevada County CoC,CA-531,Sierra County,06091
Upper Cumberland CoC,TN-506,Clinton County,21053
Kentucky Balance of State CoC,KY-500,Clinton County,21053
Ohio Balance of State CoC,OH-507,Hancock County,39063
Texas Balance of State CoC,TX-607,Hale County,48189
Alabama Balance of State CoC,AL-507,Clay County,01027
Texas Balance of State CoC,TX-607,Armstrong County,48011
Ohio Balance of State CoC,OH-507,Allen County,39003
Augusta-Richmond County CoC,GA-504,McDuffie County,13189
Georgia Balance of State CoC,GA-501,McDuffie County,13189
Wisconsin Balance of State CoC,WI-500,Sauk County,55111
Madison/Dane County CoC,WI-503,Sauk County,55111
Delta Hills CoC,AR-504,Stone County,05137
Arkansas Balance of State CoC,AR-503,Stone County,05137
Oregon Balance of State CoC,OR-505,Wallowa County,41063
Washington Balance of State CoC,WA-501,Wallowa County,41063
Idaho Balance of State CoC,ID-501,Wallowa County,41063
Ohio Balance of State CoC,OH-507,Beaver County,42007
Beaver County CoC,PA-603,Beaver County,42007
Western Pennsylvania CoC,PA-601,Beaver County,42007
"Wheeling, Weirton Area CoC",WV-500,Beaver County,42007
"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",PA-600,Beaver County,42007
Mississippi Balance of State CoC,MS-501,Jasper County,28061
Missouri Balance of State CoC,MO-606,Henry County,29083
Colorado Balance of State CoC,CO-500,Saguache County,08109
Durham City & County CoC,NC-502,Chatham County,37037
Raleigh/Wake County CoC,NC-507,Chatham County,37037
North Carolina Balance of State CoC,NC-503,Chatham County,37037
Chapel Hill/Orange County CoC,NC-513,Chatham County,37037
Wyoming Statewide CoC,WY-500,Rich County,49033
Idaho Balance of State CoC,ID-501,Rich County,49033
Provo/Mountainland CoC,UT-504,Rich County,49033
Utah Balance of State CoC,UT-503,Rich County,49033
Northeast Oklahoma CoC,OK-505,Adair County,40001
Fayetteville/Northwest Arkansas CoC,AR-501,Adair County,40001
Cleveland/Cuyahoga County CoC,OH-502,Lake County,39085
Ohio Balance of State CoC,OH-507,Lake County,39085
"Roanoke City & County, Salem CoC",VA-502,Salem city,51775
"Roanoke City & County, Salem CoC",VA-502,Montgomery County,51121
Virginia Balance of State CoC,VA-521,Montgomery County,51121
Chattanooga/Southeast Tennessee CoC,TN-500,Hamilton County,47065
Georgia Balance of State CoC,GA-501,Hamilton County,47065
El Paso City & County CoC,TX-603,Otero County,35035
Texas Balance of State CoC,TX-607,Otero County,35035
New Mexico Balance of State CoC,NM-501,Otero County,35035
Arizona Balance of State CoC,AZ-500,Catron County,35003
New Mexico Balance of State CoC,NM-501,Catron County,35003
Alabama Balance of State CoC,AL-507,Marengo County,01091
Wyoming Statewide CoC,WY-500,Lincoln County,56023
Utah Balance of State CoC,UT-503,Lincoln County,56023
Idaho Balance of State CoC,ID-501,Lincoln County,56023
Missouri Balance of State CoC,MO-606,Barton County,29011
Kansas Balance of State CoC,KS-507,Barton County,29011
"Joplin/Jasper, Newton Counties CoC",MO-602,Barton County,29011
Texas Balance of State CoC,TX-607,Calhoun County,48057
"Newport News, Hampton/Virginia Peninsula CoC",VA-505,Poquoson city,51735
Virginia Balance of State CoC,VA-521,Pocahontas County,54075
West Virginia Balance of State CoC,WV-508,Pocahontas County,54075
Southwest Oklahoma Regional CoC,OK-506,Clay County,48077
"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",TX-624,Clay County,48077
"Richmond/Henrico, Chesterfield, Hanover Counties CoC",VA-500,James City County,51095
"Newport News, Hampton/Virginia Peninsula CoC",VA-505,James City County,51095
Nebraska Balance of State CoC,NE-500,Keith County,31101
Nebraska Balance of State CoC,NE-500,Phelps County,31137
Texas Balance of State CoC,TX-607,Calcasieu Parish,22019
Louisiana Balance of State CoC,LA-509,Calcasieu Parish,22019
Southeast Arkansas CoC,AR-505,Union Parish,22111
Monroe/Northeast Louisiana CoC,LA-505,Union Parish,22111
"Shreveport, Bossier/Northwest Louisiana CoC",LA-502,Union Parish,22111
Northeast Oklahoma CoC,OK-505,Sequoyah County,40135
Southeastern Oklahoma Regional CoC,OK-507,Sequoyah County,40135
Georgia Balance of State CoC,GA-501,DeKalb County,01049
Alabama Balance of State CoC,AL-507,DeKalb County,01049
Eastern Pennsylvania CoC,PA-509,Steuben County,36101
"Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties CoC",NY-501,Steuben County,36101
Western Pennsylvania CoC,PA-601,Steuben County,36101
"Wayne, Ontario, Seneca, Yates Counties CoC",NY-513,Steuben County,36101
Western Pennsylvania CoC,PA-601,Forest County,42053
