CoC Number,CoC Category
AK-500,Other Largely Urban CoC
AK-501,Largely Rural CoC
AL-500,Largely Suburban CoC
AL-501,Other Largely Urban CoC
AL-502,Largely Rural CoC
AL-503,Other Largely Urban CoC
AL-504,Other Largely Urban CoC
AL-505,Largely Rural CoC
AL-506,Other Largely Urban CoC
AL-507,Largely Rural CoC
AR-500,Other Largely Urban CoC
AR-501,Other Largely Urban CoC
AR-503,Largely Rural CoC
AR-505,Largely Rural CoC
AZ-500,Largely Rural CoC
AZ-501,Major City CoC
AZ-502,Major City CoC
CA-500,Major City CoC
CA-501,Major City CoC
CA-502,Major City CoC
CA-503,Major City CoC
CA-504,Other Largely Urban CoC
CA-505,Largely Suburban CoC
CA-506,Largely Rural CoC
CA-507,Largely Suburban CoC
CA-508,Largely Suburban CoC
CA-509,Largely Rural CoC
CA-510,Largely Suburban CoC
CA-511,Largely Suburban CoC
CA-512,Largely Suburban CoC
CA-513,Largely Suburban CoC
CA-514,Major City CoC
CA-515,Largely Suburban CoC
CA-516,Largely Rural CoC
CA-517,Other Largely Urban CoC
CA-518,Largely Suburban CoC
CA-519,Largely Rural CoC
CA-520,Largely Suburban CoC
CA-521,Largely Suburban CoC
CA-522,Largely Rural CoC
CA-523,Largely Rural CoC
CA-524,Largely Suburban CoC
CA-525,Largely Suburban CoC
CA-526,Largely Rural CoC
CA-527,Largely Rural CoC
CA-529,Largely Rural CoC
CA-530,Largely Rural CoC
CA-531,Largely Rural CoC
CA-600,Major City CoC
CA-601,Major City CoC
CA-602,Largely Suburban CoC
CA-603,Largely Suburban CoC
CA-604,Other Largely Urban CoC
CA-606,Major City CoC
CA-607,Other Largely Urban CoC
CA-608,Largely Suburban CoC
CA-609,Largely Suburban CoC
CA-611,Other Largely Urban CoC
CA-612,Other Largely Urban CoC
CA-613,Largely Suburban CoC
CA-614,Largely Suburban CoC
CO-500,Largely Rural CoC
CO-503,Major City CoC
CO-504,Major City CoC
CO-505,Other Largely Urban CoC
CT-503,Other Largely Urban CoC
CT-505,Largely Suburban CoC
DC-500,Major City CoC
DE-500,Largely Suburban CoC
FL-500,Largely Suburban CoC
FL-501,Major City CoC
FL-502,Other Largely Urban CoC
FL-503,Largely Suburban CoC
FL-504,Largely Suburban CoC
FL-505,Largely Suburban CoC
FL-506,Other Largely Urban CoC
FL-507,Largely Suburban CoC
FL-508,Largely Rural CoC
FL-509,Largely Suburban CoC
FL-510,Major City CoC
FL-511,Largely Suburban CoC
FL-512,Largely Suburban CoC
FL-513,Largely Suburban CoC
FL-514,Largely Suburban CoC
FL-515,Largely Rural CoC
FL-517,Largely Rural CoC
FL-518,Largely Rural CoC
FL-519,Largely Suburban CoC
FL-520,Largely Suburban CoC
FL-600,Major City CoC
FL-601,Largely Suburban CoC
FL-602,Largely Suburban CoC
FL-603,Largely Suburban CoC
FL-604,Largely Rural CoC
FL-605,Largely Suburban CoC
