year,met2013,metarea_name,total_units,vacancy_rate
2015,0,Not in identifiable area,32377912,0.18131181528938617
2015,10420,"Akron, OH",313518,0.09907884076831314
2015,10580,"Albany-Schenectady-Troy, NY",381333,0.13471952335622672
2015,10740,"Albuquerque, NM",373902,0.09560794004846189
2015,10900,"Allentown-Bethlehem-Easton, PA-NJ",345251,0.08766665411541169
2015,11100,"Amarillo, TX",103381,0.10972035480407424
2015,11260,"Anchorage, AK",187047,0.15789614374996658
2015,11460,"Ann Arbor, MI",150083,0.0798624760965599
2015,11500,"Anniston-Oxford-Jacksonville, AL",53323,0.1687827016484444
2015,11700,"Asheville, NC",257619,0.1811978153785241
2015,12060,"Atlanta-Sandy Springs-Roswell, GA",2224754,0.09312849870142946
2015,12100,"Atlantic City-Hammonton, NJ",122280,0.20709028459273798
2015,12220,"Auburn-Opelika, AL",66385,0.1234314980793854
2015,12260,"Augusta-Richmond County, GA-SC",226687,0.15814757793786147
2015,12420,"Austin-Round Rock, TX",805946,0.08224248274698305
2015,12540,"Bakersfield, CA",293589,0.10325659340097892
2015,12580,"Baltimore-Columbia-Towson, MD",1134549,0.10147027585410591
2015,12620,"Bangor, ME",74332,0.20493192703008126
2015,12700,"Barnstable Town, MA",191689,0.43956095550605406
2015,12940,"Baton Rouge, LA",345319,0.12968878051888255
2015,13140,"Beaumont-Port Arthur, TX",168396,0.11870234447374046
2015,13380,"Bellingham, WA",93263,0.1419641229640908
2015,13460,"Bend-Redmond, OR",83886,0.17240063896240135
2015,13780,"Binghamton, NY",104381,0.1177417346068729
2015,13820,"Birmingham-Hoover, AL",508231,0.13381907046205369
2015,13900,"Bismarck, ND",62467,0.07856948468791522
2015,13980,"Blacksburg-Christiansburg-Radford, VA",79371,0.12567562459840495
2015,14010,"Bloomington, IL",71552,0.07284212880143112
2015,14020,"Bloomington, IN",60539,0.09813508647318257
2015,14260,"Boise City, ID",268253,0.05671511595396883
2015,14460,"Boston-Cambridge-Newton, MA-NH",1932298,0.06858828193166892
2015,14740,"Bremerton-Silverdale, WA",109608,0.1021275819283264
2015,14860,"Bridgeport-Stamford-Norwalk, CT",366129,0.08904238669976976
2015,15180,"Brownsville-Harlingen, TX",147515,0.1697929024167034
2015,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",520994,0.10173245757148834
2015,15500,"Burlington, NC",68485,0.07873256917573192
2015,15540,"Burlington-South Burlington, VT",95152,0.10085967714814192
2015,15940,"Canton-Massillon, OH",179280,0.09178937974118696
2015,15980,"Cape Coral-Fort Myers, FL",379060,0.3043502347913259
2015,16580,"Champaign-Urbana, IL",90482,0.1194491722110475
2015,16620,"Charleston, WV",96899,0.12303532544195503
2015,16700,"Charleston-North Charleston, SC",318493,0.14057765790770912
2015,16740,"Charlotte-Concord-Gastonia, NC-SC",1010535,0.08784158886134573
2015,16860,"Chattanooga, TN-GA",231479,0.1255707861188272
2015,16980,"Chicago-Naperville-Elgin, IL-IN-WI",3792884,0.08950682383115328
2015,17020,"Chico, CA",98040,0.13006935944512443
2015,17140,"Cincinnati, OH-KY-IN",902906,0.09932816926678968
2015,17300,"Clarksville, TN-KY",132567,0.14370092104369867
2015,17460,"Cleveland-Elyria, OH",957518,0.11283860982247854
2015,17660,"Coeur d'Alene, ID",62650,0.09240223463687151
2015,17780,"College Station-Bryan, TX",85231,0.08920463211742206
2015,17820,"Colorado Springs, CO",281288,0.0705753533744774
2015,17860,"Columbia, MO",74446,0.07109851435940144
2015,17900,"Columbia, SC",346611,0.12687998938291054
2015,18140,"Columbus, OH",803008,0.08520961185940862
2015,18580,"Corpus Christi, TX",204638,0.15665712135575993
2015,19100,"Dallas-Fort Worth-Arlington, TX",2633340,0.07505031632831309
2015,19300,"Daphne-Fairhope-Foley, AL",108580,0.33441701970897036
2015,19380,"Dayton, OH",367957,0.10199017820017013
2015,19460,"Decatur, AL",66748,0.09066938335231019
2015,19500,"Decatur, IL",50307,0.11686246446816546
2015,19660,"Deltona-Daytona Beach-Ormond Beach, FL",307028,0.1892009849264562
2015,19740,"Denver-Aurora-Lakewood, CO",1160758,0.045827812515614796
2015,19780,"Des Moines-West Des Moines, IA",282666,0.06437279333205975
2015,19820,"Detroit-Warren-Dearborn, MI",1859361,0.11722737004809716
2015,20100,"Dover, DE",68693,0.09047501200995735
2015,20700,"East Stroudsburg, PA",80718,0.31017864664634903
2015,20740,"Eau Claire, WI",66177,0.08839929280565756
2015,20940,"El Centro, CA",57229,0.21092453126911181
2015,21140,"Elkhart-Goshen, IN",78023,0.12207938684746805
2015,21340,"El Paso, TX",289459,0.09931976549355867
2015,21500,"Erie, PA",120096,0.08291699973354649
2015,21660,"Eugene, OR",159311,0.07977478014700805
2015,22180,"Fayetteville, NC",144428,0.1678414157919517
2015,22220,"Fayetteville-Springdale-Rogers, AR-MO",190663,0.08438448991151928
2015,22380,"Flagstaff, AZ",64437,0.28750562564985954
2015,22500,"Florence, SC",89429,0.10639725368728264
2015,22660,"Fort Collins, CO",140887,0.0828820260208536
2015,23060,"Fort Wayne, IN",155307,0.08262344903964405
2015,23420,"Fresno, CA",326015,0.06688956029630538
2015,23460,"Gadsden, AL",47509,0.1721147572038982
2015,23540,"Gainesville, FL",114580,0.1584220631872927
2015,23580,"Gainesville, GA",70098,0.08714941938429056
2015,24020,"Glens Falls, NY",68219,0.2844368870842434
2015,24140,"Goldsboro, NC",53289,0.10882170804481225
2015,24300,"Grand Junction, CO",55355,0.06882847077951404
2015,24340,"Grand Rapids-Wyoming, MI",355451,0.055127148327054926
2015,24660,"Greensboro-High Point, NC",351766,0.11781127226622243
2015,24780,"Greenville, NC",77329,0.11579097104579136
2015,24860,"Greenville-Anderson-Mauldin, SC",411792,0.11549762987139138
2015,25060,"Gulfport-Biloxi-Pascagoula, MS",152113,0.15894762446339233
2015,25260,"Hanford-Corcoran, CA",45251,0.05655123643676383
2015,25420,"Harrisburg-Carlisle, PA",246146,0.08316202578957205
2015,25500,"Harrisonburg, VA",52901,0.10020604525434301
2015,25540,"Hartford-West Hartford-East Hartford, CT",508982,0.08717204144743822
2015,25860,"Hickory-Lenoir-Morganton, NC",183227,0.1390406435732725
2015,25940,"Hilton Head Island-Bluffton-Beaufort, SC",106442,0.2594746434678041
2015,26140,"Homosassa Springs, FL",77726,0.22111005326403005
2015,26380,"Houma-Thibodaux, LA",95510,0.09966495654905246
2015,26420,"Houston-The Woodlands-Sugar Land, TX",2472739,0.08345725125053635
2015,26620,"Huntsville, AL",180813,0.10226034632465586
2015,26900,"Indianapolis-Carmel-Anderson, IN",842013,0.10322643474625688
2015,26980,"Iowa City, IA",59794,0.0682844432551761
2015,27060,"Ithaca, NY",42265,0.0982609724358216
2015,27100,"Jackson, MI",69023,0.14096750358576127
2015,27140,"Jackson, MS",261350,0.12475607422995982
2015,27180,"Jackson, TN",49709,0.11637731597899777
2015,27260,"Jacksonville, FL",607143,0.137279026522582
2015,27500,"Janesville-Beloit, WI",68314,0.047720818573059695
2015,27620,"Jefferson City, MO",64148,0.13563945875163683
2015,27780,"Johnstown, PA",65142,0.12431303920665623
2015,27900,"Joplin, MO",76045,0.11319613386810441
2015,28020,"Kalamazoo-Portage, MI",173069,0.1306877603730304
2015,28100,"Kankakee, IL",45182,0.14226904519498915
2015,28140,"Kansas City, MO-KS",912329,0.08716482760056952
2015,28940,"Knoxville, TN",426917,0.12406627049285927
2015,29100,"La Crosse-Onalaska, WI-MN",49441,0.06725187597338242
2015,29180,"Lafayette, LA",227355,0.11339095247520398
2015,29200,"Lafayette-West Lafayette, IN",74803,0.06612034276700132
2015,29420,"Lake Havasu City-Kingman, AZ",127774,0.2811526601656049
2015,29460,"Lakeland-Winter Haven, FL",284364,0.20129481931608784
2015,29540,"Lancaster, PA",207135,0.04553552031283945
2015,29620,"Lansing-East Lansing, MI",200399,0.08239063069176993
2015,29700,"Laredo, TX",79704,0.093408110007026
2015,29740,"Las Cruces, NM",84640,0.118265595463138
2015,29820,"Las Vegas-Henderson-Paradise, NV",871866,0.15013775052588357
2015,29940,"Lawrence, KS",48537,0.11786884232647259
2015,30140,"Lebanon, PA",56479,0.05805697692947821
2015,30340,"Lewiston-Auburn, ME",48830,0.081056727421667
2015,30620,"Lima, OH",44802,0.10195973394044909
2015,30700,"Lincoln, NE",126511,0.046177802720712036
2015,30780,"Little Rock-North Little Rock-Conway, AR",307296,0.11580365510777882
2015,31080,"Los Angeles-Long Beach-Anaheim, CA",4585041,0.05883262548797274
2015,31140,"Louisville/Jefferson County, KY-IN",539486,0.09506456145293854
2015,31180,"Lubbock, TX",123097,0.11870313655085014
2015,31340,"Lynchburg, VA",115468,0.13026985831572382
2015,31460,"Madera, CA",50101,0.09734336639987226
2015,31700,"Manchester-Nashua, NH",147605,0.06829714440567732
2015,31900,"Mansfield, OH",54204,0.13310825769315918
2015,32580,"McAllen-Edinburg-Mission, TX",264607,0.14706338078735634
2015,32780,"Medford, OR",92845,0.09661263395982551
2015,32820,"Memphis, TN-MS-AR",519953,0.12457472117672175
2015,32900,"Merced, CA",84338,0.06213094927553416
2015,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",2499552,0.1720168254151144
2015,33140,"Michigan City-La Porte, IN",48768,0.11480889107611549
2015,33260,"Midland, TX",59512,0.05432517811533808
2015,33340,"Milwaukee-Waukesha-West Allis, WI",673012,0.06711767397906723
2015,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",1450146,0.05378837717029872
2015,33660,"Mobile, AL",182024,0.1597921153254516
2015,33700,"Modesto, CA",180748,0.048631243499236504
2015,33740,"Monroe, LA",66962,0.15089155043158806
2015,33780,"Monroe, MI",63643,0.07476077494775545
2015,33860,"Montgomery, AL",165532,0.12778798057173235
2015,34060,"Morgantown, WV",59602,0.1565048152746552
2015,34620,"Muncie, IN",52482,0.1372661102854312
2015,34740,"Muskegon, MI",73317,0.13778523398393278
2015,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",279205,0.3739080603857381
2015,34900,"Napa, CA",55480,0.10564167267483777
2015,34940,"Naples-Immokalee-Marco Island, FL",206384,0.34633498720831074
2015,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",803894,0.0805155903639037
