statefip,year,vacant,units,state_name,total_units,vacancy_rate,vacancy_status
1,2015,0,1846380,Alabama,2218379,0.16768956071077123,Occupied
1,2015,1,371999,Alabama,2218379,0.16768956071077123,Vacant
1,2019,1,387350,Alabama,2284922,0.16952438639043257,Vacant
1,2017,0,1841647,Alabama,2258654,0.18462633054907923,Occupied
1,2017,1,417007,Alabama,2258654,0.18462633054907923,Vacant
1,2019,0,1897572,Alabama,2284922,0.16952438639043257,Occupied
1,2016,1,377670,Alabama,2230180,0.16934507528540296,Vacant
1,2018,0,1855149,Alabama,2274674,0.1844330220506323,Occupied
1,2018,1,419525,Alabama,2274674,0.1844330220506323,Vacant
1,2016,0,1852510,Alabama,2230180,0.16934507528540296,Occupied
2,2015,0,250183,Alaska,309453,0.19153150882363396,Occupied
2,2019,0,252133,Alaska,319801,0.21159408507165395,Occupied
2,2019,1,67668,Alaska,319801,0.21159408507165395,Vacant
2,2018,0,254543,Alaska,318352,0.20043536714077498,Occupied
2,2018,1,63809,Alaska,318352,0.20043536714077498,Vacant
2,2017,0,250737,Alaska,316968,0.20895169228439464,Occupied
2,2017,1,66231,Alaska,316968,0.20895169228439464,Vacant
2,2015,1,59270,Alaska,309453,0.19153150882363396,Vacant
2,2016,1,62204,Alaska,310672,0.20022403048874698,Vacant
2,2016,0,248468,Alaska,310672,0.20022403048874698,Occupied
4,2018,0,2614297,Arizona,3035902,0.13887305980232564,Occupied
4,2018,1,421605,Arizona,3035902,0.13887305980232564,Vacant
4,2015,0,2463012,Arizona,2929173,0.15914423627419752,Occupied
4,2019,1,405602,Arizona,3076048,0.13185815045799026,Vacant
4,2016,1,442084,Arizona,2961136,0.1492954055470603,Vacant
4,2017,0,2552912,Arizona,2999121,0.14877992585160785,Occupied
4,2019,0,2670446,Arizona,3076048,0.13185815045799026,Occupied
4,2016,0,2519052,Arizona,2961136,0.1492954055470603,Occupied
4,2015,1,466161,Arizona,2929173,0.15914423627419752,Vacant
4,2017,1,446209,Arizona,2999121,0.14877992585160785,Vacant
5,2019,0,1163652,Arkansas,1389159,0.16233346938687365,Occupied
5,2018,0,1156348,Arkansas,1380521,0.16238289747131698,Occupied
5,2017,0,1153081,Arkansas,1370109,0.15840199575362252,Occupied
5,2016,0,1142718,Arkansas,1354801,0.1565418094613157,Occupied
5,2015,0,1144657,Arkansas,1347598,0.15059461352717948,Occupied
5,2018,1,224173,Arkansas,1380521,0.16238289747131698,Vacant
5,2015,1,202941,Arkansas,1347598,0.15059461352717948,Vacant
5,2017,1,217028,Arkansas,1370109,0.15840199575362252,Vacant
5,2019,1,225507,Arkansas,1389159,0.16233346938687365,Vacant
5,2016,1,212083,Arkansas,1354801,0.1565418094613157,Vacant
6,2018,0,13071671,California,14277425,0.08445178314717115,Occupied
6,2016,1,1117193,California,14060601,0.0794555652350849,Vacant
6,2018,1,1205754,California,14277425,0.08445178314717115,Vacant
6,2019,0,13156759,California,14365884,0.08416641816124924,Occupied
6,2019,1,1209125,California,14365884,0.08416641816124924,Vacant
6,2015,0,12895471,California,13987522,0.07807322841029311,Occupied
6,2015,1,1092051,California,13987522,0.07807322841029311,Vacant
6,2017,0,13004305,California,14176487,0.08268494162199705,Occupied
6,2016,0,12943408,California,14060601,0.0794555652350849,Occupied
6,2017,1,1172182,California,14176487,0.08268494162199705,Vacant
8,2019,0,2235072,Colorado,2464062,0.09293191486253187,Occupied
8,2019,1,228990,Colorado,2464062,0.09293191486253187,Vacant
8,2018,0,2176627,Colorado,2423997,0.10205045633307303,Occupied
8,2017,0,2139192,Colorado,2385483,0.10324575777735578,Occupied
8,2017,1,246291,Colorado,2385483,0.10324575777735578,Vacant
8,2016,0,2108951,Colorado,2339095,0.09839018936811032,Occupied
8,2016,1,230144,Colorado,2339095,0.09839018936811032,Vacant
8,2018,1,247370,Colorado,2423997,0.10205045633307303,Vacant
8,2015,0,2074517,Colorado,2308900,0.10151284161288926,Occupied
8,2015,1,234383,Colorado,2308900,0.10151284161288926,Vacant
9,2018,0,1378087,Connecticut,1521123,0.09403315839678975,Occupied
9,2017,0,1356700,Connecticut,1517436,0.10592604894044955,Occupied
9,2015,0,1343704,Connecticut,1496056,0.10183576015871064,Occupied
9,2018,1,143036,Connecticut,1521123,0.09403315839678975,Vacant
